Variable,English,Spanish
news_body,"<div class=""vid_wrapper_right""><div class=""profile_vid_right""><iframe class=""embed_vid"" src=""https://www.youtube.com/embed/ENLaVTJWYss?rel=0"" frameborder=""0"" gesture=""media"" allow=""encrypted-media"" allowfullscreen></iframe></div></div>
<h2>What We're Up To</h2><p>
Our <a href=""https://suffolklitlab.org/doc-assembly-line/"">Document Assembly Line Project</a> has been running full steam since April. The last 2 months have been a whirlwind for our volunteers from around the world and our full-time partners from Suffolk University Law School’s <a href=""https://suffolklitlab.org/"">LIT Lab</a>, <a href=""https://www.gbls.org/"">Greater Boston Legal Services</a>, and <a href=""https://www.mlri.org/"">Massachusetts Law Reform Institute</a>. 
</p>
<p>
We have in total engaged more than 100 volunteers from five continents, although many of them are based right here in Boston, Massachusetts. Two full-time project managers include a volunteer from Code for Boston and a volunteer working 6 hours ahead in Capetown, South Africa.
</p>
<p>
Running a project like this is a little like laying train tracks in front of you while you’re traveling cross-country at full speed.
</p>
<p>
We:
</p>
<ol>
<li>
Designed a beautiful and user-friendly <a href=""https://massaccess.suffolklitlab.org/"">front page</a> for our forms.
</li>
<li>
Built <a href=""https://github.com/SuffolkLITLab"">code libraries</a> that support each form.
</li>
<li>
Onboarded, organized, and trained volunteers with widely varying skill sets.
</li>
<li>
Created training material for our project, the tools we use such as Github, Slack and Trello, and for learning to code with our platform, <a href=""https://docassemble.org/"">docassemble</a>: including <a href=""https://www.youtube.com/playlist?list=PLy6i9GFGw5GxtN0vwsJBVp4BK8pGq_lSL"">13 training videos</a>.
</li>
<li>
Built standards for our project, with standard questions, <a href=""https://github.com/SuffolkLITLab/doc-assembly-line/blob/master/labeling-pdf-fields.md"">field names</a>, and design.
</li>
<li>
Created a tool that automatically creates a “first draft” of a guided interview with just a labeled PDF.
</li>
<li>
Engaged volunteer geoengineers to help us implement a court-finding tool that works with the byzantine jurisdiction of the Boston Municipal Court. (No joke: the answer was a <a href=""https://www.appgeo.com/appgeo-data-detectives-the-case-of-boston-courthouse-jurisdiction/"">detective story</a> that lies in finding ward maps from the 1800s up until today and turning them into GIS layers).
</li>
<li>
Created 53 labeled, fillable PDFs with draft interviews.
</li>
<li>
Pushed our <a href=""https://massaccess.suffolklitlab.org/housing/"">first form</a> all the way through to approval by the court: a form that helps tenants get help with emergency housing conditions.
</li>
<li>
Released additional forms for use by advocates while court approval is pending.
</li>
<li>
Testing, testing, testing and revising for readability, usability, errors of law, and bugs in the computer’s logic.
</li>
</ol>
<p>
Two months of our project have been absorbed in a critical form: the Domestic Violence Complaint for Protection from Abuse petition. This project is not just one form: it’s 8 forms, with a typical completed packet weighing in at 19 pages, and hundreds of individual fields. It’s a beast for someone to complete this emergency form on their own on paper. Four separate coders worked on the forms in pieces, and dozens of volunteers have helped us refine the questions so someone can ask for this critical help in a time-saving, easy to understand and supportive way. 
</p>
<p>
Thanks to existing work and extensive testing with advocates and DV survivors by Massachusetts Law Reform Institute, we were able to accelerate this project which on its own could easily have taken a year or more. The DV petition is currently in a limited beta, focusing on the wonderful staff advocates at agencies like <a href=""https://www.mass.gov/service-details/safeplan-program"">SAFEPLAN</a>. Our hope is to open that up to a wider release soon.
</p>
<p>
Looking ahead this summer, Suffolk has on-boarded 10 new students who are accelerating our project by automating some of the remaining forms in family law, juvenile court, and housing.
</p>
<p><i>Updated: 2020-06-10</i></p>",[intentionally blank]
news_lang,<p><b>We regret that this content is only available in English.</b></p>,<p><b>Lamentamos que este contenido solo esté disponible en inglés.</b></p>
about,"<h2 style=""text-align:center;"">About the Project</h2>
      <p class=""p_bar"">
        We are a collection of volunteers operating out of Suffolk Law's Legal Innovation and Technology Lab in cooperation with the Massachusetts Access to Justice Commission's COVID-19 task force. We are thankful to those organizations and businesses who have donated the time of their members/employees. We are also thankful to those volunteers who have given generously of their own time. <b><a href=""%sabout/%s"" class=""litelink"">Learn more...</a></b>
      </p>","<h2 style=""text-align:center;"">Sobre el Proyecto</h2>
      <p class=""p_bar"">
        Somos un grupo de voluntarios que operan desde el Laboratorio de Innovación Legal y Tecnología de Suffolk Law en cooperación con el grupo de trabajo COVID-19 de la Comisión de Acceso a la Justicia de Massachusetts. Estamos agradecidos a las organizaciones y empresas que han donado el tiempo de sus miembros/empleados. También estamos agradecidos a aquellos voluntarios que han donado generosamente su propio tiempo. <b><a href=""%sabout/%s"" class=""litelink"">Más información...</a></b>
      </p>"
developed,"<h2 style=""text-align:center;"">Developed With</h2>
    <p class=""p_bar"">
      This service was developed in consultation with the Massachusetts Trial Court. Forms and interviews provided here for direct filing with the Court have been approved by the Court.
    </p>","<h2 style=""text-align:center;"">Desarrollado Con</h2>
    <p class=""p_bar"">
      Este servicio se desarrolló en cooperación con los Tribunales de Primera Instancia de Massachusetts.
    </p>"
court_logo,MA court seal,Sello de la Corte de Massachusetts
start,Start Form,Formulario de inicio
lang_msg,"We are in the process of creating a translated version of this interview. Until then, you can click ""Start Interview"" to access the English version.","Estamos en el proceso de crear una versión traducida de esta entrevista. Hasta entonces, puede hacer clic en ""Iniciar entrevista"" para acceder a la versión en inglés."
in_prog,In Progress,En progreso
beta,Private Beta,Beta privado
beta_209A_header,Application for a 209A Restraining Order (Private Beta),Solicitud de una orden de restricción 209A (Beta privado)
beta_209A_body,"<p><b>If you are trying to get a restraining order, you should contact a service provider directly for help. Jane Doe Inc. maintains <a href=""https://janedoe.org/find_help/"" target=""_blank"">a list of resources to help you find someone who can help</a>, or you could call SafeLink's statewide domestic violence hot line at 1-877-785-2020.</b></p>

<p>Our application for a 209A Restraining Order is currently in private beta. That means we are only sharing it with service providers such as DV advocates.</p>

<p>If you are a service provider and would like to have access to the beta, please <a href=""mailto:massaccess@suffolk.edu"">contact us</a>.</p>","<p> <b> Si está tratando de obtener una orden de restricción, debe comunicarse con un proveedor de servicios directamente para obtener ayuda. Jane Doe Inc. mantiene <a href=""https://janedoe.org/find_help/"" target=""_blank""> una lista de recursos para ayudarlo a encontrar a alguien que pueda ayudarlo </a>, o puede llamar a SafeLink en todo el estado línea directa de violencia doméstica al 1-877-785-2020. </b> </p>

<p> Nuestra solicitud para una orden de restricción 209A se encuentra actualmente en versión beta privada. Eso significa que solo lo compartimos con proveedores de servicios como los defensores de DV. </p>

<p> Si es un proveedor de servicios y desea tener acceso a la versión beta, <a href=""mailto:massaccess@suffolk.edu""> contáctenos </a>. </p>"
not_avail,Not available at this time,En este momento no esta disponible
in_progress_msg,"We are still in the process of creating an interactive version of this form (based on <a href=""%spdfs/%s"" target=""_blank"" onClick=""gtag('event', 'download', {'event_category':'pdf', 'event_label':'%s'});"">this English PDF</a>).","Todavía estamos en el proceso de crear una versión interactiva de este formulario (basado en <a href=""%spdfs/%s"" target=""_blank"" onClick=""gtag('event', 'download', {'event_category':'pdf', 'event_label':'%s'});"">este PDF en inglés</a>)."
about_header,About Us,Sobre Nosotros
about_alt,Image of volunteers on a Zoom call,Imagenes de voluntarios en una llamada de Zoom
about_caption,"Screen shot from one of our <a href=""https://www.youtube.com/playlist?list=PLy6i9GFGw5GzcPqGyZQ06lPp35v6S5-YF"" class=""captionlnk"" target=""_blank"">regular meeting calls</a>","Captura de pantalla de una de nuestras <a href=""https://www.youtube.com/playlist?list=PLy6i9GFGw5GzcPqGyZQ06lPp35v6S5-YF"" class=""captionlnk"" target=""_blank"">llamadas de reuniones</a>"
about_section_1,"<h2>The Document Assembly Line Project</h2>
    <p>
      MassAccess was created and is maintained by the Document Assembly Line Project. The project is run out of Suffolk Law's <a href=""https://suffolklitlab.org/"">Legal Innovation and Technology Lab</a> in cooperation with the <a href=""http://www.massa2j.org/a2j/"" target=""_blank"">Access to Justice Commission</a>'s COVID-19 task force. It is staffed by a collection of volunteers, and operates as an assembly line to rapidly create mobile-friendly accessible versions of online court forms and self-help materials in multiple-languages for key areas of urgent legal need during the COVID-19 crisis.
    </p>
    <p>
      Though we are focused on MA specific content, we are sharing our work <a href=""https://github.com/SuffolkLITLab/doc-assembly-line"" target=""_blank"">on GitHub</a> in the hopes that our efforts can be replicated in other jurisdictions. All novel code we generate will be licensed under an <a href=""https://github.com/SuffolkLITLab/doc-assembly-line/blob/master/LICENSE"" target=""_blank"">MIT License</a>, and we're intentionally building on the open source <a href=""https://docassemble.org/"" target=""_blank"">docassemble</a> platform.
    </p>
    <h3>What to Volunteer?</h3>
    <p>
      Learn more, including <span style=""background:yellow"">how you can volunteer</span>, on <a href=""https://suffolklitlab.org/doc-assembly-line/"" target=""_blank"">the project's website</a>.
    </p>","<h2>Proyecto de Línea de Montaje de Documentos</h2>
    <p>
      MassAccess fue creado y es mantenido por el Proyecto de Línea de Montaje  de Documentos. El proyecto se lleva a cabo en el <a href=""https://suffolklitlab.org/"">Laboratorio de Innovación Legal y Tecnología </a> de Suffolk Law en cooperación con el grupo de trabajo COVID-19 de la  <a href=""http://www.massa2j.org/a2j/"" target=""_blank"">Comisión de Acceso a la Justicia</a>. Estaa dorado de un grupo de voluntarios y funciona como una línea de montaje para crear rápidamente versiones móviles accesibles de formularios judiciales en línea y  materiales de autoayuda en múltiples idiomas para áreas clave de necesidad jurídica urgente durante la crisis de COVID-19. 
    </p>
    <p>
      Aunque nos centramos en el contenido específico de MA, estamos compartiendo nuestro trabajo en <a href=""https://github.com/SuffolkLITLab/doc-assembly-line"" target=""_blank"">GitHub</a> con la esperanza de que nuestros esfuerzos puedan ser replicados en otras jurisdicciones. Todo el código nuevo que  generemos será licenciado baja una <a href=""https://github.com/SuffolkLITLab/doc-assembly-line/blob/master/LICENSE"" target=""_blank"">licencia del MIT</a>, y estamos construyendo intencionalmente en la plataforma <a href=""https://docassemble.org/"" target=""_blank"">docassemble</a> de código abierto. 
    </p>
    <h3>¿Quiere ofrecerse como voluntario?</h3>
    <p>
      Aprende más, incluyendo <span style=""background:yellow"">cómo puedes ser voluntario</span> en el <a href=""https://suffolklitlab.org/doc-assembly-line/"" target=""_blank"">sitio web del proyecto</a>.
    </p>"
about_thankyou,Thank You, Gracias
about_section_2,We are thankful to those organizations and businesses who have donated the time of their members/employees. We are also thankful to those volunteers who have given generously of their own time.,Agradecemos a aquellas organizaciones y empresas que han donado el tiempo de sus miembros / empleados. También estamos agradecidos con aquellos voluntarios que han dado generosamente su propio tiempo.
helpline,Trial Court Helpline,Línea Directa del Tribunal de Primera Instancia
help_header,"To reach the Trial Court Helpline, call: 833-91COURT (833-912-6878)","Para contactar la línea de ayuda del Tribunal, llame: 833-01COURT (833-912-6878)
"
help_body,"<p>
         The public can call the Helpline to ask general questions about their civil and criminal cases and help them navigate the court system while the court system remains closed to the public except for emergency matters. The Helpline will be staffed from 8:30 a.m. to 4:30 p.m., Monday through Friday.
      </p>
      <p>
        <span style=""background:yellow;""><b>For emergency matters, court users should first call their local court Clerk's or Register's Offices</b></span>. Contact numbers for individual courts and offices can be found online on the <a href=""https://www.mass.gov/courthouse-locator"" target=""_blank"">Courthouse Locator page</a>. Emergency matters include: emergency protection and harassment prevention orders; arraignments of new arrests; bail reviews; dangerousness hearings; mental health commitment orders; care and protection orders; and other matters. Each department of the Trial Court <a href=""https://www.mass.gov/guides/court-system-response-to-covid-19#-court-orders-"" target=""_blank"">issued Standing Orders</a> that contain full lists of emergency matters.
      </p>"," <p>
         El público puede llamar a la línea para hacer preguntas generales sobre sus casos civiles y criminales and para ayuda de navegar el sistema de la corte mientras se cierra el tribunal al público excepto los asuntos de emergencia. Se abre la línea de ayuda de las 8:30 a.m. a las 4:30 p.m., los lunes a los viernes.
      </p>
      <p>
        <span style=""""background:yellow;"""">Para asuntos de emergencia, los usuarios de la corte debe llamar primero a la oficina de secretario del juzgado de su tribunal local. Se encuentra los numeros de telefono para tribunales individuales y oficinas en el sitio web de <a href=""""https://www.mass.gov/courthouse-locator"""" target=""""_blank"""">Courthouse Locator page</a>. Los asuntos de emergencia son: los órdenes de protección de abuso y prevenir acoso; la lectura de cargos de nuevos arrestos; la revisión de fianza; la audiencia de ser peligroso (“dangerousness hearings”); los órdenes de reclusión al cuidado psiquiátrico; los órdenes de cuidado y protección de niños; y otros asuntos. Cada departamento del Tribunal <a href=""""https://www.mass.gov/guides/court-system-response-to-covid-19#-court-orders-"""" target=""""_blank"""">publicó órdenes</a> que tienen listas completas de asuntos de emergencia.
      </p>"
priv_header,Guided Interviews Terms of Use and Data Privacy Policy," Entrevistas Guiadas Acuerdo de Uso y Política de Privacidad
"
priv_trans,<p><b>What follows is a translation of the site’s terms of service provided for your convenience. The official authoritative copy is written in English and can be found <a href=../'>here</a>.</b><p>,<p><b>Lo que sigue es traducción de las condiciones del servicio provisto para su conveniencia. La copia oficial autoritaria es escrita en inglés y se puede encontrarla  <a href='../'>acá</a>.</b><p>
priv_body,"<p>
        Suffolk University Law School's Legal Innovation and Technology Lab (""the LIT Lab"") is a legal technology consulting shop housed within the Suffolk University Law School (""the Law School""), a non-profit educational institution based in the Greater Boston Area.
      </p>
      <p>
          The website (""massacess.suffolklitlab.org"" and ""apps.suffolklitlab.org"") and the guided interviews available there are provided as a free service for those wishing to file forms with the Massachusetts Trial Courts. By using the service, you accept and agree to the terms of use and privacy policy set forth below.
      </p>

      <h2>Terms Of Use and Data Privacy Policy</h2>
      <h4>Important disclaimers</h4>
      <ul>
        <li>This website does not constitute legal advice. You should consult a lawyer for legal advice.</li>

        <li>We use our best efforts to prepare the forms on this site and to keep them up to date. Law changes or court or local variations may make any forms generated by this site unenforceable.</li>

        <li>This website is offered completely without warranty, including an implied warranty of fitness. The LIT Lab disclaims all liability for your use of information on this website or your reliance on the forms created by a guided interview.</li>

        <li>You agree to indemnify and hold harmless the LIT Lab and the Law School for all claims arising out of your use of these guided interviews or the information that they give you.</li>

        <li>the LIT Lab does not offer technical support for the interviews provided on this website.</li>

        <li>Information you enter may not be protected by attorney-client privilege or attorney work product doctrine.</li>

        <li>Do not use this system to conduct unauthorized practice of law. If you do, you may face civil or criminal liability.</li>
      </ul>

      <h4>How you are allowed to use this website</h4>

      <ul>
        <li>You must be over the age of 13 to use this website.</li>
        <li>Commercial use is not allowed.</li>
        <li>You may not re-sell access to our service.</li>
        <li>If you are representing a client, even for a fee, you may occasionally use this site during the course of your representation as long as you disclose that it is available for free from the LIT Lab. If you intend to use it regularly, you should contact the LIT Lab for a special arrangement.</li>
        <li>Excessive use, abuse, or any use that interferes with the use of the system by others is not allowed.</li>

      </ul>

      <h4>What information we collect from you</h4>

      <ul>
        <li>Information that you type in the guided interview, which may include private information such as your name, address, and identification numbers.</li>

        <li>Information sent automatically by your web browser, which includes information about your information service provider, your location and third-party analytics such as Google Analytics. This information is used to protect the system from unauthorized use and to understand the demographics of the users of our site and to improve the forms and interviews contained on this site.</li>

        <li>Information from your web browser may be stored in computer logs for up to 180 days and reviewed to maintain the security of our system. Anonymous analytics may be stored indefinitely.</li>

        <li>We use cookies to allow you to return to the site and finish an interview that is in progress. At any time you may delete your saved answers stored on our servers by accessing <a href=""%smyforms/%s"">My Forms</a>.</li>
      </ul>

      <h4>What Information We Share With Others</h4>

      <ul>
        <li> We deliver the contents of your completed forms to the MA Trial Court.</li>

        <li> We will never sell your data.</li>

        <li>Third-party analytics to improve our website.</li>

        <li>We may use a third party service to store saved answers from completed interviews. We will delete your information upon written request.</li>

        <li>We may use anonymized data that you provide for research purposes in order to understand how to better provide legal services to the citizens of Massachusetts. Anonymous information may be shared with academic researchers to help with this goal. This information will never include your private, identifying details.</li>
      </ul>

      <h4>How we protect your information</h4>

      <ul>
        <li>All information sent to our servers and sent back to you is encrypted with standard HTTPS SSL encryption to protect it from other users on your network or in between your computer and the LIT Lab.</li>

        <li>We make use of software controls, firewalls, and continuous monitoring to protect your information and to maintain the security of the website.</li>

        <li>Access to your responses is limited to logged-in and authorized employees of the LIT Lab, only when necessary to make improvements to the system or at your request.</li>

        <li>However: if you share a link to your interview, any person with that link may have access to the responses you gave in that interview.</li>

      </ul>

      <h3>Our Response Times</h3>
      <ul>
        <li>We respond to general data inquiries from users within 30 days.</li>
        <li>We will inform users of any data breach involving their interview data within 72 hours of discovery.</li>
      </ul>

      <h3>Amendments</h3>

      <p>
      The LIT Lab may modify, alter, or update these Terms of Use at any time with or without notice. Please review the link on a regular basis for any such changes.

      </p>
      <p>
      If you continue to use our website following a change to these Terms of Use, you will be deemed to have accepted the changes.

      </p>
      <h2>General</h2>

      <p>
      If any term or condition set out in this Terms of Use is held to be invalid, unenforceable or illegal for any reason, the remaining terms and conditions will continue in full force.

      </p>
      <p>These Terms of Use are governed by the laws of the Commonwealth of Massachusetts and deemed to be entered into by you and the LIT Lab.</p>

      <p>Please send any questions or comments about this Terms of Use and Privacy Policy to Suffolk LIT Lab, 120 Tremont St, Boston MA.</p>","<p>
        Legal Innovation and Technology Lab de Suffolk University Law School (“LIT Lab”) es un proyecto legal tecnológica dentro de Suffolk University Law School, una universidad no lucrativa basada en el área de Boston.
      </p>
      <p>
      El sitio web (“massaccess.suffolklitlab.org” y “apps.suffolklitlab.org”) y las entrevistas guiadas disponibles son provistas como un servicio gratuito para los quienes quieren entregar formularios a los tribunales de Massachusetts. Por usar el servicio, acepta y está de acuerdo a las condiciones del servicio y política de privación de datos.

      </p>

      <h2>Condiciones del Servicio y Política de Privacidad</h2>
      <h4>Importantes cláusulas de exención de responsabilidad</h4>
      <ul>
        <li>Este sitio web no constituye un asesoramiento jurídico. Debe consultar a un abogado para obtener asesoramiento legal.</li>

        <li>Hacemos todo lo posible para preparar los formularios de este sitio y mantenerlos actualizados. Los cambios de ley o las variaciones judiciales o locales pueden hacer que los formularios generados por este sitio sean inaplicables.</li>

        <li>Este sitio web se ofrece completamente sin garantía, incluyendo una garantía implícita de aptitud. El Laboratorio LIT se exime de toda responsabilidad por el uso que usted haga de la información de este sitio web o por su confianza en los formularios creados por una entrevista guiada.</li>

        <li>Usted acepta indemnizar y eximir de responsabilidad al Laboratorio LIT y a la Facultad de Derecho por todos los reclamos que surjan del uso de estas entrevistas guiadas o de la información que lo proporcionen.</li>

        <li>El Laboratorio LIT no ofrece apoyo técnico para las entrevistas que se proporcionan en este sitio web.</li>

        <li>La información que usted ingrese puede no estar protegida por el privilegio abogado-cliente o la doctrina del producto del trabajo de los abogados.</li>

        <li>No utilice este sistema para llevar a cabo una práctica no autorizada de la ley. Si lo hace, puede enfrentar responsabilidad civil o penal.</li>
      </ul>

      <h4>Como se le permite usar este sitio web</h4>

      <ul>
        <li>Debe tener más de 13 años para usar este sitio web.</li>
        <li>El uso commercial no está permitido.</li>
        <li>No puede revender el acceso a nuestro servicio.</li>
        <li>Si usted representa a un cliente, aunque sea por una tarifa, puede utilizar ocasionalmente este sitio durante el transcurso de su  representación, siempre y cuando revele que está disponible de forma gratuita en el Laboratorio LIT. Si tiene la intención de utilizarlo regularmente, debe ponerse en contacto con el Laboratorio LIT para un acuerdo especial.</li>
        <li>No se permite el uso excesivo, el abuso o cualquier uso que interfiera con el uso del sistema por parte de otros.</li>

      </ul>

      <h4>La información que recogemos de usted</h4>

      <ul>
        <li>La información que escribe en la entrevista guiada, que puede incluir información privada como su nombre, dirección y números de identificación.</li>

        <li>La información enviada automáticamente por su navegador de internet, que incluye información sobre su proveedor de servicio, su ubicación y tercera analitica como Google Analytics. Se usa esta información para proteger el sistema contra el uso no autorizado y para entender la demografía de los usuarios de nuestro sitio y para mejorar los formularios y entrevistas contenidas en este sitio.</li>

        <li>Información de su navegador de web se puede almacenarse en los registros de la computadora hasta 180 días y se revisan para mantener la seguridad de nuestro sistemo. Los análisis anónimos se pueden almacenar indefinidamente. </li>

        <li>Utilizamos cookies para permitirle regresar al sitio y finalizar una entrevista que está en progreso. En cualquier momento, puede eliminar sus respuesta guardadas que están almacenadas en nuestros servidores por acceder  <a href=""%smyforms/%s"">Mis Formularios</a>.</li>
      </ul>

      <h4>La Información Que Compartimos con Otros</h4>

      <ul>
        <li> Entregamos el contenido de sus formularios completos al Tribunal de Primera Instancia de MA.</li>

        <li> Nunca venderemos su información </li>

        <li>Análisis de tercera parte para mejorar nuestro sitio de web.</li>

        <li>Podemos utilizar un servicio de tercera parte para almacenar respuestas guardadas de entrevistas completadas. Eliminaremos su información si lo pide  por escrito.</li>

        <li>Podemos utilizar datos anónimos que nos proporcione con fines de investigación para comprender cómo proporcionar mejores servicios legales a los ciudadanos de Massachusetts. Se puede compartir información anónima con investigadores académicos para ayudar con este objetivo. Esta información nunca incluirá sus detalles privados de identificación.</li>
      </ul>

      <h4>Cómo protegemos su información</h4>

      <ul>
        <li>Toda la información enviada a nuestros servidores y devuelta a usted está encriptada con encriptación SSL HTTPS estándar para protegerla de otros usuarios en su red o entre su computadora y el LIT Lab.</li>

        <li>Usamos controles de software, firewalls y monitoreo continuo para proteger su información y mantener la seguridad del sitio web.</li>

        <li>El acceso a sus respuestas está limitado a los empleados registrados y autorizados de LIT Lab, solo cuando sea necesario para realizar mejoras en el sistema o cuando lo solicite.</li>

        <li>Sin embargo: si comparte un enlace a su entrevista, cualquier persona con ese enlace puede tener acceso a las respuestas que dio en esa entrevista.</li>

      </ul>


      <h3>Enmiendas</h3>

      <p>
      LIT Lab puede modificar, alterar o actualizar estos Términos de uso en cualquier momento con o sin previo aviso. Por favor, revise el enlace periódicamente para ver estes cambios.

      </p>
      <p>
      Si continúa utilizando nuestro sitio web después de un cambio en estos Términos de uso, se considerará que usted ha aceptado los cambios.


      </p>
      <h2>General</h2>

      <p>
      Si cualquier término o condición establecidos en estos Términos de Uso se considera inválido, inaplicable o ilegal por cualquier motivo, los términos y condiciones restantes continuarán en vigencia.

      </p>
      <p>Estos Términos de Uso se gobiernan por las leyes del Commonwealth de Massachusetts y se consideran estar en vigencia entre usted y el LIT Lab.</p>

      <p>Por favor envíe cualquier pregunta o comentario sobre este Terminos de Uso y Política de Privacidad a Suffolk LIT Lab, 120 Tremont St, Boston MA.</p>"
