Variable,English,Spanish
step_1,"<h3>Step 1</h3>
            <p>
              Choose a category above and select the form you need to fill out.
            </p>","<h3>Fase 1</h3>
            <p>
              Seleccione una categoría arriba y seleccione el formulario que necesita llenar.
            </p>"
step_2_alt,envelope in motion icon, 
step_2,"<h3>Step 2</h3>
            <p>
              Fill out and submit your form online. It will be delivered to the court.
            </p>","<h3>Fase 2</h3>
            <p>
              Llene y envíe su formulario en línea. Será entregado a la corte.
            </p>"
step_3_alt,phone icon, 
step_3,"<h3>Step 3</h3>
            <p>
              The court will contact you about next steps. <b><a href=""%smyforms/%s"" class=""litelink"">Sign in</a></b> to view your forms.
            </p>","<h3>Fase 3</h3>
            <p>
              La corte se pondrá en contacto con usted para los próximos pasos. <b><a href=""%smyforms/%s"" class=""litelink"">Firme</a></b> para ver sus formularios. 
            </p>"
about,"<h2 style=""text-align:center;"">About the Project</h2>
      <p class=""p_bar"">
        We are a collection of volunteers operating out of Suffolk Law's Legal Innovation and Technology Lab in cooperation with the Massachusetts Access to Justice Commission's COVID-19 task force. We are thankful to those organizations and businesses who have donated the time of their members/employees. We are also thankful to those volunteers who have given generously of their own time. <b><a href=""%sabout/%s"" class=""litelink"">Learn more...</a></b>
      </p>","<h2 style=""text-align:center;"">Sobre el Proyecto</h2>
      <p class=""p_bar"">
        Somos un grupo de voluntarios que operan desde el Laboratorio de Innovación Legal y Tecnología de Suffolk Law en cooperación con el grupo de trabajo COVID-19 de la Comisión de Acceso a la Justicia de Massachusetts. Estamos agradecidos a las organizaciones y empresas que han donado el tiempo de sus miembros/empleados. También estamos agradecidos a aquellos voluntarios que han donado generosamente su propio tiempo. <b><a href=""%sabout/%s"" class=""litelink"">Más información...</a></b>
      </p>"
developed,"<h2 style=""text-align:center;"">Developed With</h2>
    <p class=""p_bar"">
      This service was developed in consultation with the Massachusetts Trial Court. Forms and interviews provided here for filing with the Court have been approved by the Court.
    </p>","<h2 style=""text-align:center;"">Desarrollado Con</h2>
    <p class=""p_bar"">
      Este servicio se desarrolló en cooperación con los Tribunales de Primera Instancia de Massachusetts.
    </p>"
court_logo,MA court seal, 
start,Start Interview, 
lang_msg,"We are in the process of creating a translated version of this interview. Until then, you can click ""Start Interview"" to access the English version.",
in_prog,In Progress, 
not_avail,Not Available at This Time, 
in_progress_msg,"We are still in the process of creating an interactive version of this form (based on <a href=""%spdfs/%s"" target=""_blank"" onClick=""gtag('event', 'download', {'event_category':'pdf', 'event_label':'%s'});"">this English PDF</a>).",
about_header,About Us, 
about_alt,Image of volunteers on a Zoom call, 
about_caption,"Screen shot from one of our <a href=""https://www.youtube.com/playlist?list=PLy6i9GFGw5GzcPqGyZQ06lPp35v6S5-YF"" class=""captionlnk"" target=""_blank"">regular meeting calls</a>", 
about_section_1,"<h2>The Document Assembly Line Project</h2>
    <p>
      MassAccess was created and is maintained by the Document Assembly Line Project. The project is run out of Suffolk Law's <a href=""https://suffolklitlab.org/"">Legal Innovation and Technology Lab</a> in cooperation with the <a href=""http://www.massa2j.org/a2j/"" target=""_blank"">Access to Justice Commission</a>'s COVID-19 task force. It is staffed by a collection of volunteers, and operates as an assembly line to rapidly create mobile-friendly accessible versions of online court forms and self-help materials in multiple-languages for key areas of urgent legal need during the COVID-19 crisis.
    </p>
    <p>
      Though we are focused on MA specific content, we are sharing our work <a href=""https://github.com/SuffolkLITLab/doc-assembly-line"" target=""_blank"">on GitHub</a> in the hopes that our efforts can be replicated in other jurisdictions. All novel code we generate will be licensed under an <a href=""https://github.com/SuffolkLITLab/doc-assembly-line/blob/master/LICENSE"" target=""_blank"">MIT License</a>, and we're intentionally building on the open source <a href=""https://docassemble.org/"" target=""_blank"">docassemble</a> platform.
    </p>
    <h3>What to Volunteer?</h3>
    <p>
      Learn more, including <span style=""background:yellow"">how you can volunteer</span>, on <a href=""https://suffolklitlab.org/doc-assembly-line/"" target=""_blank"">the project's website</a>.
    </p>", 
about_thankyou,Thank You, 
about_section_2,We are thankful to those organizations and businesses who have donated the time of their members/employees. We are also thankful to those volunteers who have given generously of their own time., 
helpline,Trial Court Helpline, 
help_header,"To reach the Trial Court Helpline, call: 833-91COURT (833-912-6878)", 
help_body,"<p>
         The public can call the Helpline to ask general questions about their civil and criminal cases and help them navigate the court system while the court system remains closed to the public except for emergency matters. The Helpline will be staffed from 8:30 a.m. to 4:30 p.m., Monday through Friday.
      </p>
      <p>
        <span style=""background:yellow;""><b>For emergency matters, court users should first call their local court Clerk's or Register's Offices</b></span>. Contact numbers for individual courts and offices can be found online on the <a href=""https://www.mass.gov/courthouse-locator"" target=""_blank"">Courthouse Locator page</a>. Emergency matters include: emergency protection and harassment prevention orders; arraignments of new arrests; bail reviews; dangerousness hearings; mental health commitment orders; care and protection orders; and other matters. Each department of the Trial Court <a href=""https://www.mass.gov/guides/court-system-response-to-covid-19#-court-orders-"" target=""_blank"">issued Standing Orders</a> that contain full lists of emergency matters.
      </p>", 
priv_header,Guided Interviews Terms of Use and Data Privacy Policy, 
priv_body,"<p>What follows is a translation of the site’s terms of service provided for your convenience. The official authoritative copy is written in English and can be found <a href='/privacy/'>here</a>.<p>
        Suffolk University Law School's Legal Innovation and Technology Lab (""the LIT Lab"") is a legal technology consulting shop housed within the Suffolk University Law School (""the Law School""), a non-profit educational institution based in the Greater Boston Area.
      </p>
      <p>
          The website (""massacess.suffolklitlab.org"" and ""apps.suffolklitlab.org"") and the guided interviews available there are provided as a free service for those wishing to file forms with the Massachusetts Trial Courts. By using the service, you accept and agree to the terms of use and privacy policy set forth below.
      </p>

      <h2>Terms Of Use and Data Privacy Policy</h2>
      <h4>Important disclaimers</h4>
      <ul>
        <li>This website does not constitute legal advice. You should consult a lawyer for legal advice.</li>

        <li>We use our best efforts to prepare the forms on this site and to keep them up to date. Law changes or court or local variations may make any forms generated by this site unenforceable.</li>

        <li>This website is offered completely without warranty, including an implied warranty of fitness. The LIT Lab disclaims all liability for your use of information on this website or your reliance on the forms created by a guided interview.</li>

        <li>You agree to indemnify and hold harmless the LIT Lab and the Law School for all claims arising out of your use of these guided interviews or the information that they give you.</li>

        <li>the LIT Lab does not offer technical support for the interviews provided on this website.</li>

        <li>Information you enter may not be protected by attorney-client privilege or attorney work product doctrine.</li>

        <li>Do not use this system to conduct unauthorized practice of law. If you do, you may face civil or criminal liability.</li>
      </ul>

      <h4>How you are allowed to use this website</h4>

      <ul>
        <li>You must be over the age of 13 to use this website.</li>
        <li>Commercial use is not allowed.</li>
        <li>You may not re-sell access to our service.</li>
        <li>If you are representing a client, even for a fee, you may occasionally use this site during the course of your representation as long as you disclose that it is available for free from the LIT Lab. If you intend to use it regularly, you should contact the LIT Lab for a special arrangement.</li>
        <li>Excessive use, abuse, or any use that interferes with the use of the system by others is not allowed.</li>

      </ul>

      <h4>What information we collect from you</h4>

      <ul>
        <li>Information that you type in the guided interview, which may include private information such as your name, address, and identification numbers.</li>

        <li>Information sent automatically by your web browser, which includes information about your information service provider, your location and third-party analytics such as Google Analytics. This information is used to protect the system from unauthorized use and to understand the demographics of the users of our site and to improve the forms and interviews contained on this site.</li>

        <li>Information from your web browser may be stored in computer logs for up to 180 days and reviewed to maintain the security of our system. Anonymous analytics may be stored indefinitely.</li>

        <li>We use cookies to allow you to return to the site and finish an interview that is in progress. At any time you may delete your saved answers stored on our servers by accessing <a href=""../myforms/"">My Forms</a>.</li>
      </ul>

      <h4>What Information We Share With Others</h4>

      <ul>
        <li> We deliver the contents of your completed forms to the MA Trial Court.</li>

        <li> We will never sell your data.</li>

        <li>Third-party analytics to improve our website.</li>

        <li>We may use a third party service to store saved answers from completed interviews. We will delete your information upon written request.</li>

        <li>We may use anonymized data that you provide for research purposes in order to understand how to better provide legal services to the citizens of Massachusetts. Anonymous information may be shared with academic researchers to help with this goal. This information will never include your private, identifying details.</li>
      </ul>

      <h4>How we protect your information</h4>

      <ul>
        <li>All information sent to our servers and sent back to you is encrypted with standard HTTPS SSL encryption to protect it from other users on your network or in between your computer and the LIT Lab.</li>

        <li>We make use of software controls, firewalls, and continuous monitoring to protect your information and to maintain the security of the website.</li>

        <li>Access to your responses is limited to logged-in and authorized employees of the LIT Lab, only when necessary to make improvements to the system or at your request.</li>

        <li>However: if you share a link to your interview, any person with that link may have access to the responses you gave in that interview.</li>

      </ul>

      <h3>Our Response Times</h3>
      <ul>
        <li>We respond to general data inquiries from users within 30 days.</li>
        <li>We will inform users of any data breach involving their interview data within 72 hours of discovery.</li>
      </ul>

      <h3>Amendments</h3>

      <p>
      The LIT Lab may modify, alter, or update these Terms of Use at any time with or without notice. Please review the link on a regular basis for any such changes.

      </p>
      <p>
      If you continue to use our website following a change to these Terms of Use, you will be deemed to have accepted the changes.

      </p>
      <h2>General</h2>

      <p>
      If any term or condition set out in this Terms of Use is held to be invalid, unenforceable or illegal for any reason, the remaining terms and conditions will continue in full force.

      </p>
      <p>These Terms of Use are governed by the laws of the Commonwealth of Massachusetts and deemed to be entered into by you and the LIT Lab.</p>

      <p>Please send any questions or comments about this Terms of Use and Privacy Policy to Suffolk LIT Lab, 120 Tremont St, Boston MA.</p>", 
form_1_title,Temporary Restraining Order,
form_1_desc,"Contains complaint and requests for temporary and permanent orders, preliminary injunction needed to seek immediate relief for lockouts, emergency repairs, utility shut-offs, and the like.",
form_2_title,Housing Stay of Execution,
form_2_desc,Requests that a judge postpone eviction proceedings. ,
form_3_title,Tenant Petition Form,
form_3_desc,"Contains petition for tenants to request that court order a landlord to make repairs, especially emergency repairs. Tenants can also request that the court lower rent to the fair rental value while the landlord makes repairs. Lastly, tenants can use this form to request a receiver, although legal assistance is recommended for this. ",
form_4_title,209A Complaint Page 1,
form_4_desc,"Contains Page 1 of a complaint for protection from abuse and requests that the court order the defendant not to abuse the plaintiff, contact the plaintiff, to remain away from plaintiff's residence/workplace/school, to pay compensation to plaintiff, and the like",
form_5_title,209A Complaint Page 2,
form_5_desc,Contains Page 2 of a complaint for protection from abuse regarding issues of child abuse,
form_6_title,209A Plaintiff Confidential Information Form,
form_6_desc,"Form requesting that certain information be kept confidential from Defendant, including home/work/school addresses.",
form_7_title,209A Defendant Information Form,
form_7_desc,"Plaintiff can use this form to submit Defendant's information including addresses, birthdate, physical characteristics, social security number, car make and license plate, etc. so that police can locate and serve Defendant with restraining order. ",
form_8_title,Motion for Impoundment,
form_8_desc,Contains request for court to impound Plaintiff's information such as residential/work/school addresses so Defendant does not have access to it.,
form_9_title,209A Plaintif's Motion to Modify or Terminate Abuse Prevention Order,
form_9_desc,Contains motion for Plaintiff to request modification or termination of an abuse prevention order,
form_10_title,209A Defendant's Motion to Modify or Terminate Abuse Prevention Order,
form_10_desc,Contains motion for Defendant to request modification or termination of an abuse prevention order,
form_11_title,209A Affidavit,
form_11_desc,Allows the Plaintiff to make a sworn statement regarding the circumstances of abuse. Form goes with the 209A Plaintiff's Complaint,
form_12_title,258E Complaint,
form_12_desc,"Contains complaint for protection from harrassment requesting court to order Defendant not to abuse and harass Plaintiff, not to contact Plaintiff, to remain away from Plaintiffs residence and workplace, and to pay compensation to Plaintiff for losses resulting from Defendant's harrassment. Plaintiff can request court to do so without notice to Defendant because of substantial likelihood of immediate danger or harrassment.",
form_13_title,258E Harrassment Intake Form,
form_13_desc,"For Plaintiffs/Defendants under the age of 18, this form must be included with the 258E Complaint. The form includes names and birthdates for the Plaintiff/Defendant minors, and contact information for the parents of Plaintiff/Defendant minors.",
form_14_title,209A Affidavit for Filing Out-of-State Protective Order,
form_14_desc,Allows Plaintiff to make a sworn statement that there is an out-of-state protective order in effect against the Defendant,
form_15_title,209A Petition Relative to Domesticated Animals,
form_15_desc,"Contains petition for Plaintiff requesting that the court order an abuse prevention order preventing Defendant from abusing a domesticated animal, and that Plaintiff be given possession of the animal",
form_16_title,Affidavit Disclosing Care or Custody Proceeding,
form_16_desc,Allows party to a 209A or family law proceeding to make sworn statement regarding care or custody proceedings involving a child,
form_17_title,Plaintiff's Affidavit in Support of a Request for Child Support Order,
form_17_desc,Allows Plaintiff to make sworn statement in support of child support order regarding Plaintiff's and Defendant's respective income and expenses,
form_18_title,Defendant's Affidavit in Support of a Request for Child Support Order,
form_18_desc,Allows Defendant to make sworn statement in connection with a child support order regarding Defendant's and Plaintiff's respective income and expenses,
form_19_title,Proposed Orders - Temporary Orders,
form_19_desc,"Contains proposed temporary orders for child custody, child support, parenting time, and the like",
form_20_title,Generic Motion,
form_20_desc,"Generic Family Law motion form for a variety of family law related issues. Can be used for child support, temporary orders, custody, etc.",
form_21_title,Complaint for Contempt,
form_21_desc,"contains complaint for contempt against Defendant for failing to comply with order of child support, alimony, parenting time, etc. ",
form_22_title,Financial Statement,
form_22_desc,"Form for filling out financial information such as income and expenses. Should accompany motions/orders that deal with financial information such as child support, alimony, etc.",
form_23_title,Marriage without Delay,
form_23_desc,"contains a petition for an immediate marriage by the court, and also for marriage of minors",
form_24_title,Blank Affidavit Form,
form_24_desc,affidavit form for general famly law matters,
form_25_title,DOR Application Form,
form_25_desc,"This is an application form for services from the Massachusetts Department of Revenue, Child Support Enforcement Division. It is to be completed after entry of a child support order by the court ",
form_26_title,Child Support Guidelines Worksheet,
form_26_desc,"On this form, parents are to list the age, number, and parenting of children. Parents also list additional information regarding their expenses, income, etc. for purposes of determining an actual dollar amount for child support owed.",
form_27_title,Military Affidavit,
form_27_desc,Allows party to make a sworn statement that they are in the military. Used for guardianship and family law members,
form_28_title,Motion of Temporary Appointment for Guardian of a Minor,
form_28_desc,Contains motion for temporary appointment of guardian for a minor. Used for emergency circumstances where delay could cause harm to the minor,
form_29_title,Petition for Appointment of Guardianship of Minor,
form_29_desc,"Contains petition for appointment of a guardian for a minor. Petitioner must provide information about the minor, about petitioner, and about the minor's biological parents, in addition to providing reasons that the minor needs a guardian",
form_30_title,Petition for Removal of Guardian,
form_30_desc,"Contains a petition for an interested party, the minor, or minor's parent's to request removal of a guardian",
form_31_title,Request for Counsel,
form_31_desc,Contains request for an attorney to be appointed for the minor. Can be requested by the minor (if 14+ years of age) or by an interested party,
form_32_title,Consent or Nomination by Minor,
form_32_desc,Contains consent form for minors 14+ years of age to either grant/deny consent to appointment of a guardian or nominate a guardian,
form_33_title,Waiver and Consent to Petition for Guardianship of a Minor,
form_33_desc,Contains consent form for parent/interested party of a minor to acknowledge that a petition for guardian for the minor has been made,
form_34_title,Bond,
form_34_desc,"form for a fiduciary to post bond (for purposes of MassAccess, probably just guardians and conservators, but could also be used in probate for executor/administrator/trustee)",
form_35_title,Petition for Appointment of Conservator for Disabled Person or For Single Transaction,
form_35_desc,contains a petition for appointment of a conservator for a minor or disabled adult,
form_36_title,Affidavit of Indigency,
form_36_desc,Allows applicant to make a sworn statement they are indigent so they can have court fees waived,
form_37_title,Supplement to Affidavit of Indigency,
form_37_desc,Must be submitted with Affidivait of Indigency where applicant checks Box C on Affidavit of Indigency (unable to pay fees/costs without being deprived of necessities of life). Contains financial information for application to fill out.,
