Variable,counts,English,list,Spanish
form_39_desc,,"<p>Ask the court to order a member of your family, household, or someone you date to stop abusing you.  You can also ask the court to order someone you <b>were</b> in a relationship with to stop abusing you. People use different names for this court order. It is an Abuse Prevention Order, a 209A, a Protection from Abuse Order, a Restraining Order, or an injunction. The application includes up to 4-5 forms you must complete:</p>
<ol>
<li>Complaint for Protection from Abuse (G.L. c. 209A) Page 1,</li>
<li>Complaint for Protection from Abuse (G.L. c. 209A) Page 2. You must complete this form if you have children under 18,</li>
<li>An Affidavit you write that describes the abuse and why you need the court order, </li>
<li>Plaintiff Confidential Information Form that gives the court your addresses and ways to contact you while keeping this information from the public,</li>
<li>Defendant Information Form to help the police find, identify and give the person who abused you a copy of the order and notice about the next hearing.</li>
</ol>
<p>And 3 more forms, if you need them:</p>
<ol>
<li>Motion to Impound so you can keep information on your application away from the public and some people who normally can see it,</li>
<li>Affidavit Disclosing Care or Custody Proceeding that tells the court about any other court cases your children have ever been involved in, and</li>
<li>Plaintiff’s Affidavit in Support of Request for Child Support Order which gives the court your financial information and the defendant's if you are asking the court to order child support.</li>
</ol>
<p><i>Unlike other forms found on this site, this form is not intended for direct filing with the Massachusetts Trial Court. Consequently, it is not an approved court form. After you complete this packet, you will need to call the court and see how they would like it delivered.</i></p>",,"<p> Pídale a la corte que ordene a un miembro de su familia, hogar o alguien con quien salga que deje de abusar de usted. También puede pedirle al tribunal que ordene a alguien con quien <b> estaba </b> en una relación que deje de abusar de usted. La gente usa diferentes nombres para esta orden judicial. Es una Orden de Prevención de Abuso, una 209A, una Orden de Protección contra Abuso, una Orden de Restricción o una orden judicial. La solicitud incluye hasta 4-5 formularios que debe completar: </p>
<ol>
<li> Queja de protección contra el abuso (G.L. c. 209A) Página 1, </li>
<li> Queja para protección contra abuso (G.L. c. 209A) Página 2. Debe completar este formulario si tiene hijos menores de 18 años, </li>
<li> Una declaración jurada que escriba que describa el abuso y por qué necesita la orden judicial, </li>
<li> Formulario de información confidencial del demandante que le brinda al tribunal sus direcciones y formas de comunicarse con usted mientras mantiene esta información al público, </li>
<li> Formulario de información del acusado para ayudar a la policía a encontrar, identificar y entregar a la persona que abusó de usted una copia de la orden y un aviso sobre la próxima audiencia. </li>
</ol>
<p> Y 3 formularios más, si los necesita: </p>
<ol>
<li> Moción para incautar para que pueda mantener la información de su solicitud fuera del alcance del público y de algunas personas que normalmente pueden verla, </li>
<li> Declaración jurada que divulga el procedimiento de custodia o cuidado que informa al tribunal sobre cualquier otro caso judicial en el que sus hijos hayan estado involucrados, y </li>
<li> Declaración jurada del demandante en apoyo de la solicitud de orden de manutención infantil, que le brinda al tribunal su información financiera y la del demandado si le solicita al tribunal que ordene la manutención infantil. </li>
</ol>
<p> <i> A diferencia de otros formularios que se encuentran en este sitio, este formulario no está destinado a ser presentado directamente ante el Tribunal de Primera Instancia de Massachusetts. En consecuencia, no es un formulario judicial aprobado. Después de completar este paquete, deberá llamar a la corte y ver cómo les gustaría que se lo entreguen. </i> </p>"
form_39_link,,http://apps.suffolklitlab.org/start/209a,,
form_39_base_pdf,,,,
form_39_categories,,dv,,
form_40_title,100,"<a name=""CDC"">CDC Eviction Moratorium Assistant</a>",,"<a name=""CDC"">Asistente de moratoria de desalojo de los CDC</a>"
form_40_desc,,"<p>To mitigate community spread of the novel coronavirus, the Center for Disease Control (CDC) has issued <a href=""https://s3.amazonaws.com/public-inspection.federalregister.gov/2020-19654.pdf"" target=""_blank"">an order</a> pausing residential evictions for some tenants unable to make rental payments due to hardships caused by the coronavirus. Use this form to see if you are covered by this order and to produce a declaration to share with your landlord if you are.</p><p>To qualify, you must:</p><ul>
<li>Earn under the income limit.</li>
<li>Be unable to pay your rent because you lost income.</li>
<li>Be at risk of homelessness or doubling up (sharing housing in close quarters).</li>
</ul>
<p><i>Unlike other forms found on this site, this form is not intended for direct filing with the Massachusetts Trial Court. Consequently, it is not an approved court form. It will help you produce a letter that you can mail or email to your landlord.</i></p>
<p><b>This form is national and can be used anywhere in the United States.</b></p>",,"<p> Para mitigar la propagación comunitaria del nuevo coronavirus, el Centro para el Control de Enfermedades (CDC) ha publicado <a href = ""https://s3.amazonaws.com/public-inspection.federalregister.gov/2020-19654.pdf ""target ="" _ blank ""> una orden </a> que detiene los desalojos residenciales de algunos inquilinos que no pueden pagar el alquiler debido a las dificultades causadas por el coronavirus. Use este formulario para ver si está cubierto por esta orden y para producir una declaración para compartir con su arrendador si lo está. </p> <p> Para calificar, debe: </p> <ul>
<li> Gane por debajo del límite de ingresos. </li>
<li> No poder pagar el alquiler porque perdió ingresos. </li>
<li> Estar en riesgo de quedarse sin hogar o duplicar su vivienda (compartir la vivienda en espacios reducidos). </li>
</ul>
<p> <i> A diferencia de otros formularios que se encuentran en este sitio, este formulario no está destinado a ser presentado directamente ante el Tribunal de Primera Instancia de Massachusetts. En consecuencia, no es un formulario judicial aprobado. Le ayudará a producir una carta que puede enviar por correo o correo electrónico a su arrendador. </i> </p>
<p> <b> Este formulario es nacional y se puede utilizar en cualquier lugar de los Estados Unidos. </b> </p>"
form_40_link,,https://apps.suffolklitlab.org/start/cdc_moratorium,,
form_40_base_pdf,,,,
form_40_categories,,housing,,
form_41_title,0,Massachusetts Defense for Eviction (MADE),,Defensa de desalojo (MADE) de Massachusetts
form_41_desc,,"<p>This completely free guided interview is for Massachusetts tenants who are being evicted. It is estimated to take between 25 and 90 minutes for a typical tenant to use on their own. It will help you make sure that you respond to your landlord's eviction case correctly. It can send you reminders of important dates by text and email. It includes videos and educational links.</p><p><i>Unlike other forms found on this site, this form is not intended for direct filing with the Massachusetts Trial Court. Consequently, it is not an aproved court form. At the end of the form, you can download, print, and send or e-file using the court's official E-Filing portal.</i></p>",,"<p>Este guía interrogatorio completamente gratis es solo para inquilinos de Massachusetts que están siendo desalojados. Se estimula que normalmente le tomara al inquilino entre 25 y 90 minutos para completar por sí solo. Se asegura de ayudarle a que usted le responda a su propetario/arrendador la orden de desalojo correctamente. También le puede enviar recordatorios de fechas importantes por texto y correo electrónicos. Le incluye videos y enlaces educativos. Al aceptar usar este sistema usted acepta nuestras regulaciones de uso. Si usted se encuentra en una clínica en la oficina de Servicios Legales de Boston, elija el enlace de “Clinica”. Sino elija “Comenzar entrevista”. Aprenda más al respecto de MADE.</p>"
form_41_link,,https://gbls.org/MADE,,https://gbls.org/MADE/es
form_41_base_pdf,,,,
form_41_categories,,housing,,
